175,AFST,AmTrust Financial Services,,,100
176,AEUA,Anadarko Petroleum Corporation,US,stock,100
177,APC,Anadarko Petroleum Corporation,US,stock,100
178,AU,AngloGold Ashanti Limited,US,stock,100
179,BUD,Anheuser-Busch Inbev SA,US,stock,100
180,AXE,Anixter International Inc.,US,stock,100
181,NLY,Annaly Capital Management Inc,US,stock,100
182,NLY^A,Annaly Capital Management Inc,US,stock,100
183,NLY^C,Annaly Capital Management Inc,US,stock,100
184,NLY^D,Annaly Capital Management Inc,US,stock,100
185,AM,Antero Midstream Partners LP,US,stock,100
186,AR,Antero Resources Corporation,US,stock,100
187,ANTM,Anthem,,,100
188,ANTX,Anthem,,,100
189,ANH,Anworth Mortgage Asset  Corporation,US,stock,100
190,ANH^A,Anworth Mortgage Asset  Corporation,US,stock,100
191,ANH^B,Anworth Mortgage Asset  Corporation,US,stock,100
192,ANH^C,Anworth Mortgage Asset  Corporation,US,stock,100
193,AON,Aon plc,US,stock,100
194,APA,Apache Corporation,US,stock,100
195,AIV,Apartment Investment and Management Company,US,stock,100
196,AIV^A,Apartment Investment and Management Company,US,stock,100
197,AIV^Z,Apartment Investment and Management Company,US,stock,100
198,ARI,Apollo Commercial Real Estate Finance,US,stock,100
199,ARI^A,Apollo Commercial Real Estate Finance,US,stock,100
200,APO,Apollo Global Management,,,100
201,AIB,Apollo Investment Corporation,US,stock,100
202,AIY,Apollo Investment Corporation,US,stock,100
203,AMTG,Apollo Residential Mortgage,,,100
204,AMTG^A,Apollo Residential Mortgage,,,100
205,AFT,Apollo Senior Floating Rate Fund Inc.,US,stock,100
206,AIF,Apollo Tactical Income Fund Inc.,US,stock,100
207,APLE,Apple Hospitality REIT,,,100
208,AIT,Applied Industrial Technologies,,,100
209,ATR,AptarGroup,,,100
210,WTR,Aqua America,,,100
211,ARMK,Aramark,US,stock,100
212,ABR,Arbor Realty Trust,US,stock,100
213,ABR^A,Arbor Realty Trust,US,stock,100
214,ABR^B,Arbor Realty Trust,US,stock,100
215,ABR^C,Arbor Realty Trust,US,stock,100
216,ABRN,Arbor Realty Trust,US,stock,100
217,ARC,ARC Document Solutions,,,100
218,ARCX,Arc Logistic Partners LP,US,stock,100
219,MT,ArcelorMittal,US,stock,100
220,ARH^C,Arch Capital Group Ltd.,US,stock,100
221,ADM,Archer-Daniels-Midland Company,US,stock,100
222,AROC,Archrock,,,100
223,ARCO,Arcos Dorados Holdings Inc.,US,stock,100
224,ASC,Ardmore Shipping Corporation,US,stock,100
225,AFC,Ares Capital Corporation,US,stock,100
226,ARU,Ares Capital Corporation,US,stock,100
227,ACRE,Ares Commercial Real Estate Corporation,US,stock,100
228,ARDC,Ares Dynamic Credit Allocation Fund,,,100
229,ARES,Ares Management L.P.,US,stock,100
230,AGX,Argan,,,100
231,ANET,Arista Networks,,,100
232,AI,Arlington Asset Investment Corp,US,stock,100
233,AIC,Arlington Asset Investment Corp,US,stock,100
234,AIW,Arlington Asset Investment Corp,US,stock,100
235,AHH,Armada Hoffler Properties,,,100
